사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,수소,기타연료,하이브리드
서울특별시 마포구 연남동,4165,917,1465,261,27,2,1307,11,1,4,170
서울특별시 마포구 성산동,14656,2896,5447,1127,105,3,4447,23,12,31,565
서울특별시 마포구 중동,3131,679,977,270,15,0,1046,2,7,3,132
서울특별시 마포구 상암동,11322,2362,3711,1061,110,3,3326,233,23,27,466
서울특별시 양천구 신정동,57798,12570,19015,4040,361,14,18812,317,30,119,2520
서울특별시 양천구 목동,48674,12556,14814,2541,245,16,16062,21,31,101,2287
서울특별시 양천구 신월동,45039,7209,16760,6839,195,10,12492,282,11,89,1152
서울특별시 강서구 염창동,15262,3310,4960,1144,72,7,4955,0,11,23,780
서울특별시 강서구 등촌동,25048,5116,8180,2210,116,10,8361,5,16,47,987
서울특별시 강서구 화곡동,64604,12600,22680,5673,277,25,21040,12,26,114,2157
서울특별시 강서구 가양동,24557,4766,8348,2158,124,5,7894,20,16,16,1210
서울특별시 강서구 마곡동,24705,4134,8086,1642,389,8,6664,11,15,63,3693
서울특별시 강서구 내발산동,14363,2873,4793,1440,65,5,4632,2,10,27,516
