statNm,statId,addr,lat,lng,bnm,busiNm
가락1동 주민센터,SF000766,서울특별시 송파구 양재대로 925,37.496504074,127.10985441,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
신트리3단지,SF000768,서울특별시 양천구 신정로 290,37.512324282,126.85345455,스타코프,(주)스타코프
허니빌 (저압수용가),SF000772,서울특별시 광진구 천호대로107길 52-6,37.559867322,127.07983855,스타코프,(주)스타코프
오륜동 주민센터,SF000774,서울특별시 송파구 양재대로 1232,37.515557254,127.13427403,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
효성해링턴플레이스,SF000782,서울특별시 은평구 가좌로 334,37.598115895,126.90877007,스타코프,(주)스타코프
대성예가 (저압수용가),SF000790,서울특별시 광진구 용마산로5길 76,37.557382832,127.08347429,스타코프,(주)스타코프
