`regist_ym`|`fuel_knd_nm`|`vhcle_knd_ty`|`vhcle_prpos_se`|`cnt`|`ldadng_dt`
`201601`|`전기`|`승용`|`비사업용`|`573`|`2017-11-21 16:24:43`
`201601`|`전기`|`승용`|`사업용`|`551`|`2017-11-21 16:24:43`
`201601`|`전기`|`승합`|`비사업용`|`1`|`2017-11-21 16:24:43`
`201601`|`전기`|`승합`|`사업용`|`9`|`2017-11-21 16:24:43`
`201601`|`전기`|`화물`|`비사업용`|`2`|`2017-11-21 16:24:43`
`201601`|`전기`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`전기`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`전기`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`승용`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`알코올`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`태양열`|`승용`|`비사업용`|`2`|`2017-11-21 16:24:43`
`201601`|`태양열`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`태양열`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`태양열`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`태양열`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`태양열`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`태양열`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`태양열`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`CNG`|`승용`|`비사업용`|`592`|`2017-11-21 16:24:43`
`201601`|`CNG`|`승용`|`사업용`|`183`|`2017-11-21 16:24:43`
`201601`|`CNG`|`승합`|`비사업용`|`62`|`2017-11-21 16:24:43`
`201601`|`CNG`|`승합`|`사업용`|`8684`|`2017-11-21 16:24:43`
`201601`|`CNG`|`화물`|`비사업용`|`469`|`2017-11-21 16:24:43`
`201601`|`CNG`|`화물`|`사업용`|`3`|`2017-11-21 16:24:43`
`201601`|`CNG`|`특수`|`비사업용`|`3`|`2017-11-21 16:24:43`
`201601`|`CNG`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`승용`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`LNG`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`승용`|`비사업용`|`29957`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`승용`|`사업용`|`2413`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(휘발유+전기)`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`승용`|`비사업용`|`22`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`승용`|`사업용`|`2`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`승합`|`비사업용`|`1`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(경유+전기)`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`승용`|`비사업용`|`2246`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`승용`|`사업용`|`4`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LPG+전기)`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`승용`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`승합`|`사업용`|`31`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(CNG+전기)`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`승용`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`하이브리드(LNG+전기)`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`수소`|`승용`|`비사업용`|`2`|`2017-11-21 16:24:43`
`201601`|`수소`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`수소`|`승합`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`수소`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`수소`|`화물`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`수소`|`화물`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`수소`|`특수`|`비사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`수소`|`특수`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`승용`|`비사업용`|`543`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`승용`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`승합`|`비사업용`|`652`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`승합`|`사업용`|`0`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`화물`|`비사업용`|`1946`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`화물`|`사업용`|`1130`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`특수`|`비사업용`|`70`|`2017-11-21 16:24:43`
`201601`|`기타연료`|`특수`|`사업용`|`6`|`2017-11-21 16:24:43`
`201810`|`휘발유`|`승용`|`비사업용`|`1571796`|`2018-12-03 09:44:39`
`201810`|`휘발유`|`승용`|`사업용`|`19129`|`2018-12-03 09:44:39`
`201810`|`휘발유`|`승합`|`비사업용`|`1018`|`2018-12-03 09:44:39`
`201810`|`휘발유`|`승합`|`사업용`|`39`|`2018-12-03 09:44:39`
`201810`|`휘발유`|`화물`|`비사업용`|`1812`|`2018-12-03 09:44:39`
`201810`|`휘발유`|`화물`|`사업용`|`1`|`2018-12-03 09:44:39`
`201810`|`휘발유`|`특수`|`비사업용`|`18`|`2018-12-03 09:44:39`
