`regist_ym`,`fuel_knd_nm`,`vhcle_knd_ty`,`vhcle_prpos_se`,`cnt`
201605,하이브리드(경유+전기),승합,비사업용,1
201605,하이브리드(경유+전기),승합,사업용,0
201605,하이브리드(경유+전기),화물,비사업용,0
201605,하이브리드(경유+전기),화물,사업용,0
201605,하이브리드(경유+전기),특수,비사업용,0
201605,하이브리드(경유+전기),특수,사업용,0
201605,하이브리드(LPG+전기),승용,비사업용,2222
201605,하이브리드(LPG+전기),승용,사업용,3
201605,하이브리드(LPG+전기),승합,비사업용,0
201605,하이브리드(LPG+전기),승합,사업용,0
201605,하이브리드(LPG+전기),화물,비사업용,0
201605,하이브리드(LPG+전기),화물,사업용,0
201605,하이브리드(LPG+전기),특수,비사업용,0
201605,하이브리드(LPG+전기),특수,사업용,0
201605,하이브리드(CNG+전기),승용,비사업용,0
201605,하이브리드(CNG+전기),승용,사업용,0
201605,하이브리드(CNG+전기),승합,비사업용,0
201605,하이브리드(CNG+전기),승합,사업용,32
201605,하이브리드(CNG+전기),화물,비사업용,0
201605,하이브리드(CNG+전기),화물,사업용,0
201605,하이브리드(CNG+전기),특수,비사업용,0
201605,하이브리드(CNG+전기),특수,사업용,0
201605,수소,승용,비사업용,12
201605,수소,승용,사업용,0
201605,수소,승합,비사업용,0
201605,수소,승합,사업용,0
201605,수소,화물,비사업용,0
201605,수소,화물,사업용,0
201605,수소,특수,비사업용,0
201605,수소,특수,사업용,0
201605,기타연료,승용,비사업용,521
201605,기타연료,승용,사업용,0
201605,기타연료,승합,비사업용,692
201605,기타연료,승합,사업용,0
201605,기타연료,화물,비사업용,2063
201605,기타연료,화물,사업용,1130
201605,기타연료,특수,비사업용,71
201605,기타연료,특수,사업용,6
201606,휘발유,승용,비사업용,1579643
201606,휘발유,승용,사업용,17740
201606,휘발유,승합,비사업용,1201
201606,휘발유,승합,사업용,37
201606,휘발유,화물,비사업용,1641
201606,휘발유,화물,사업용,2
201606,휘발유,특수,비사업용,21
201606,휘발유,특수,사업용,0
201606,경유,승용,비사업용,672642
201606,경유,승용,사업용,8824
201606,경유,승합,비사업용,94086
201606,경유,승합,사업용,7958
201606,경유,화물,비사업용,256265
201606,경유,화물,사업용,47944
201606,경유,특수,비사업용,2259
201606,경유,특수,사업용,4629
201606,엘피지,승용,비사업용,177479
201606,엘피지,승용,사업용,88717
201606,엘피지,승합,비사업용,25627
201606,엘피지,승합,사업용,90
201606,엘피지,화물,비사업용,29676
201606,엘피지,화물,사업용,6867
201606,엘피지,특수,비사업용,31
201606,엘피지,특수,사업용,61
201606,전기,승용,비사업용,620
201606,전기,승용,사업용,545
201606,전기,승합,비사업용,1
201606,전기,승합,사업용,9
201606,전기,화물,비사업용,2
201606,전기,화물,사업용,0
201606,전기,특수,비사업용,0
201606,전기,특수,사업용,0
201606,CNG,승용,비사업용,590
201606,CNG,승용,사업용,129
201606,CNG,승합,비사업용,57
201606,CNG,승합,사업용,8680
201606,CNG,화물,비사업용,461
201606,CNG,화물,사업용,3
201606,CNG,특수,비사업용,3
201606,CNG,특수,사업용,0
201606,하이브리드(휘발유+전기),승용,비사업용,35143
201606,하이브리드(휘발유+전기),승용,사업용,2556
201606,하이브리드(휘발유+전기),승합,비사업용,0
201606,하이브리드(휘발유+전기),승합,사업용,0
201606,하이브리드(휘발유+전기),화물,비사업용,0
201606,하이브리드(휘발유+전기),화물,사업용,0
201606,하이브리드(휘발유+전기),특수,비사업용,0
201606,하이브리드(휘발유+전기),특수,사업용,0
201606,하이브리드(경유+전기),승용,비사업용,19
201606,하이브리드(경유+전기),승용,사업용,2
201606,하이브리드(경유+전기),승합,비사업용,1
201606,하이브리드(경유+전기),승합,사업용,0
201606,하이브리드(경유+전기),화물,비사업용,0
201606,하이브리드(경유+전기),화물,사업용,0
201606,하이브리드(경유+전기),특수,비사업용,0
201606,하이브리드(경유+전기),특수,사업용,0
201606,하이브리드(LPG+전기),승용,비사업용,2225
201606,하이브리드(LPG+전기),승용,사업용,3
201606,하이브리드(LPG+전기),승합,비사업용,0
201606,하이브리드(LPG+전기),승합,사업용,0
201606,하이브리드(LPG+전기),화물,비사업용,0
201606,하이브리드(LPG+전기),화물,사업용,0
201606,하이브리드(LPG+전기),특수,비사업용,0
201606,하이브리드(LPG+전기),특수,사업용,0
201606,하이브리드(CNG+전기),승용,비사업용,0
201606,하이브리드(CNG+전기),승용,사업용,0
201606,하이브리드(CNG+전기),승합,비사업용,0
201606,하이브리드(CNG+전기),승합,사업용,36
201606,하이브리드(CNG+전기),화물,비사업용,0
201606,하이브리드(CNG+전기),화물,사업용,0
201606,하이브리드(CNG+전기),특수,비사업용,0
201606,하이브리드(CNG+전기),특수,사업용,0
201606,수소,승용,비사업용,12
201606,수소,승용,사업용,0
201606,수소,승합,비사업용,0
201606,수소,승합,사업용,0
201606,수소,화물,비사업용,0
201606,수소,화물,사업용,0
201606,수소,특수,비사업용,0
201606,수소,특수,사업용,0
201606,기타연료,승용,비사업용,503
201606,기타연료,승용,사업용,0
201606,기타연료,승합,비사업용,708
201606,기타연료,승합,사업용,0
201606,기타연료,화물,비사업용,2101
201606,기타연료,화물,사업용,1109
201606,기타연료,특수,비사업용,75
201606,기타연료,특수,사업용,6
201607,휘발유,승용,비사업용,1579462
201607,휘발유,승용,사업용,18031
201607,휘발유,승합,비사업용,1190
201607,휘발유,승합,사업용,35
201607,휘발유,화물,비사업용,1643
201607,휘발유,화물,사업용,0
201607,휘발유,특수,비사업용,21
201607,휘발유,특수,사업용,0
201607,경유,승용,비사업용,674614
201607,경유,승용,사업용,8739
201607,경유,승합,비사업용,93987
201607,경유,승합,사업용,7895
201607,경유,화물,비사업용,256227
201607,경유,화물,사업용,48055
201607,경유,특수,비사업용,2264
201607,경유,특수,사업용,4642
201607,엘피지,승용,비사업용,176672
201607,엘피지,승용,사업용,88591
201607,엘피지,승합,비사업용,25255
201607,엘피지,승합,사업용,93
201607,엘피지,화물,비사업용,29416
201607,엘피지,화물,사업용,6827
201607,엘피지,특수,비사업용,30
201607,엘피지,특수,사업용,61
201607,전기,승용,비사업용,664
201607,전기,승용,사업용,531
201607,전기,승합,비사업용,1
201607,전기,승합,사업용,9
201607,전기,화물,비사업용,2
201607,전기,화물,사업용,0
201607,전기,특수,비사업용,0
201607,전기,특수,사업용,0
201607,CNG,승용,비사업용,585
201607,CNG,승용,사업용,122
201607,CNG,승합,비사업용,57
201607,CNG,승합,사업용,8677
201607,CNG,화물,비사업용,461
201607,CNG,화물,사업용,3
201607,CNG,특수,비사업용,3
201607,CNG,특수,사업용,0
201607,하이브리드(휘발유+전기),승용,비사업용,35639
201607,하이브리드(휘발유+전기),승용,사업용,2619
201607,하이브리드(휘발유+전기),승합,비사업용,0
201607,하이브리드(휘발유+전기),승합,사업용,0
201607,하이브리드(휘발유+전기),화물,비사업용,0
201607,하이브리드(휘발유+전기),화물,사업용,0
201607,하이브리드(휘발유+전기),특수,비사업용,0
201607,하이브리드(휘발유+전기),특수,사업용,0
201607,하이브리드(경유+전기),승용,비사업용,19
201607,하이브리드(경유+전기),승용,사업용,2
201607,하이브리드(경유+전기),승합,비사업용,1
201607,하이브리드(경유+전기),승합,사업용,0
201607,하이브리드(경유+전기),화물,비사업용,0
201607,하이브리드(경유+전기),화물,사업용,0
201607,하이브리드(경유+전기),특수,비사업용,0
201607,하이브리드(경유+전기),특수,사업용,0
201607,하이브리드(LPG+전기),승용,비사업용,2165
201607,하이브리드(LPG+전기),승용,사업용,3
201607,하이브리드(LPG+전기),승합,비사업용,0
201607,하이브리드(LPG+전기),승합,사업용,0
201607,하이브리드(LPG+전기),화물,비사업용,0
