STD_YM,ADMI_CD,ADMI_NM,RSPOP_CNT,CTY_NM
202107,11140570,필동,60,중구
202107,11380690,진관동,1526,은평구
202107,11620725,조원동,176,관악구
202107,11380570,대조동,355,은평구
202107,11440565,공덕동,590,마포구
202107,11350665,상계3.4동,431,노원구
202107,11380551,갈현1동,295,은평구
202107,11680531,논현2동,327,강남구
202107,11530560,구로5동,437,구로구
202107,11620695,신림동,80,관악구
202107,11260520,면목2동,349,중랑구
202107,11290640,정릉3동,164,성북구
202107,11320660,쌍문1동,354,도봉구
202107,11230610,답십리2동,470,동대문구
202107,11440630,신수동,430,마포구
202107,11545700,시흥4동,296,금천구
202107,11350625,중계2.3동,601,노원구
202107,11110600,가회동,55,종로구
202107,11290590,돈암2동,597,성북구
202107,11500641,방화3동,339,강서구
202107,11440610,염리동,413,마포구
202107,11500630,방화1동,1203,강서구
202107,11140670,황학동,171,중구
202107,11470620,신정1동,664,양천구
202107,11140615,신당동,53,중구
202107,11650510,서초1동,445,서초구
202107,11380650,수색동,181,은평구
202107,11290660,길음1동,1287,성북구
202107,11590550,상도3동,328,동작구
202107,11110640,이화동,74,종로구
202107,11500520,등촌1동,278,강서구
202107,11680510,신사동,303,강남구
202107,11650570,반포2동,641,서초구
202107,11530750,개봉2동,591,구로구
202107,11590640,사당3동,597,동작구
202107,11710710,잠실6동,415,송파구
202107,11350700,상계8동,588,노원구
202107,11680580,삼성1동,252,강남구
202107,11590670,신대방1동,467,동작구
202107,11200580,응봉동,333,성동구
