addr,lat,lng,법정동,cnt,법정동코드,행정동,행정동코드
서울특별시 강남구 자곡동 자곡로3길 21 ,37.4717680762,127.0881179237,자곡동,3,1168011200,세곡동,1168070000
서울특별시 강남구 자곡로 101,37.472963,127.098095,자곡동,12,1168011200,세곡동,1168070000
서울특별시 강남구 자곡로 174-10,37.472674243,127.10301933,자곡동,5,1168011200,세곡동,1168070000
서울특별시 강남구 자곡로 201,37.475377585,127.10471385,자곡동,5,1168011200,세곡동,1168070000
"서울특별시 강남구 자곡로 204-25 (자곡동, 더시그넘하우스)",37.4735,127.104,자곡동,1,1168011200,세곡동,1168070000
서울특별시 강남구 자곡로 21,37.467346652,127.09326454,세곡동,3,1168011100,세곡동,1168070000
서울특별시 강남구 자곡로 36,37.467826,127.094787,세곡동,7,1168011100,세곡동,1168070000
서울특별시 강남구 자곡로3길 21,37.4711594,127.0884362,자곡동,2,1168011200,세곡동,1168070000
"서울특별시 강남구 자곡로3길 45 (자곡동, LH 강남브리즈힐)",37.47222384565,127.090686903,자곡동,5,1168011200,세곡동,1168070000
서울특별시 강남구 청담동 영동대로138길 12,37.5241030942,127.0572508006,청담동,4,1168010400,청담동,1168056500
서울특별시 강남구 청담동 영동대로142길 16 ,37.5247595235,127.0562105341,청담동,1,1168010400,청담동,1168056500
서울특별시 강남구 청담동 학동로97길 31,37.521379742,127.0545473694,청담동,1,1168010400,청담동,1168056500
서울특별시 강남구 테헤란로 131,37.5000287,127.0329141,역삼동,20,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로 152,37.499928318,127.03655073,역삼동,4,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로 201,37.501311,127.037178,역삼동,2,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로 217,37.5022373,127.0374738,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로 223,37.5023994,127.0406623,역삼동,2,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로 309,37.503557637,127.04443175,역삼동,5,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로 440,37.505813255101,127.0561329905,대치동,10,1168010600,대치4동,1168063000
서울특별시 강남구 테헤란로 521,37.509213,127.060792,삼성동,4,1168010500,삼성1동,1168058000
서울특별시 강남구 테헤란로13길 31-7,37.5013326,127.0312852,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로25길 50,37.503791,127.034759,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 테헤란로29길 5,37.501937,127.038713,역삼동,2,1168010100,역삼1동,1168064000
