상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,행정동_코드
1000730,2020,4,69,72,11560630
1000731,2020,4,143,161,11560630
1000732,2020,4,109,128,11560515
1000733,2020,4,157,173,11590550
1000734,2020,4,42,47,11590680
1000735,2020,4,77,83,11590550
1000736,2020,4,36,39,11590520
1000737,2020,4,144,153,11590660
1000738,2020,4,111,126,11590660
1000739,2020,4,167,185,11590620
1000740,2020,4,70,76,11590630
1000741,2020,4,164,173,11590630
1000742,2020,4,74,82,11590630
1000743,2020,4,268,297,11590620
1000744,2020,4,169,175,11590660
1000745,2020,4,73,83,11590510
1000746,2020,4,116,126,11590510
1000747,2020,4,83,93,11590650
1000748,2020,4,125,133,11590650
1000749,2020,4,80,84,11590620
1000750,2020,4,60,68,11590640
1000751,2020,4,41,42,11590640
1000752,2020,4,80,84,11590620
1000753,2020,4,102,114,11590640
1000754,2020,4,100,109,11590651
1000755,2020,4,127,138,11590620
1000756,2020,4,102,110,11590651
1000757,2020,4,180,194,11590540
1000758,2020,4,154,170,11590530
1000759,2020,4,84,91,11590530
1000760,2020,4,158,210,11590530
1000761,2020,4,155,180,11590530
1000762,2020,4,31,32,11590605
1000763,2020,4,33,37,11590605
1000764,2020,4,105,118,11590605
1000765,2020,4,76,80,11590605
1000766,2020,4,118,130,11590560
1000767,2020,4,27,30,11590560
1000768,2020,4,252,273,11590670
1000769,2020,4,91,102,11590560
1000770,2020,4,49,52,11590680
1000771,2020,4,48,54,11590680
1000772,2020,4,95,104,11590680
1000773,2020,4,150,161,11590660
1000774,2020,4,81,92,11590660
1000775,2020,4,141,153,11590540
1000776,2020,4,67,70,11590520
1000777,2020,4,91,100,11590520
1000778,2020,4,70,84,11590605
1000779,2020,4,100,129,11590605
1000780,2020,4,93,102,11620585
1000781,2020,4,149,165,11620585
1000782,2020,4,64,71,11620575
1000783,2020,4,187,204,11620545
1000784,2020,4,67,74,11620685
1000785,2020,4,113,126,11620695
1000786,2020,4,76,86,11620565
1000787,2020,4,77,81,11620605
1000788,2020,4,131,142,11620625
1000789,2020,4,44,49,11620775
1000790,2020,4,71,77,11620775
1000791,2020,4,106,120,11620775
1000792,2020,4,85,95,11620685
1000793,2020,4,142,158,11620765
1000794,2020,4,66,70,11620715
1000795,2020,4,133,142,11620765
1000796,2020,4,214,239,11620685
1000797,2020,4,194,206,11620685
1000798,2020,4,134,143,11620765
1000799,2020,4,110,119,11620585
1000800,2020,4,131,146,11620625
1000801,2020,4,135,142,11620630
1000802,2020,4,88,101,11620630
1000803,2020,4,75,79,11620630
1000804,2020,4,192,210,11620525
