행정동코드,행정동,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드
1132070000,방학제2동,7856.0,3721.0,2714.0,1138.0,62.0,4.0,2.0,17.0,200.0
1132071000,방학제3동,7856.0,3721.0,2714.0,1138.0,62.0,4.0,2.0,17.0,200.0
1135056000,월계1동,7913.0,3960.0,2701.0,896.0,35.0,48.0,2.0,16.0,255.0
1135057000,월계2동,7913.0,3960.0,2701.0,896.0,35.0,48.0,2.0,16.0,255.0
1135058000,월계3동,7913.0,3960.0,2701.0,896.0,35.0,48.0,2.0,16.0,255.0
1135059500,공릉1동,11703.0,5861.0,3998.0,1284.0,52.0,33.0,8.0,28.0,438.0
1135060000,공릉2동,11703.0,5861.0,3998.0,1284.0,52.0,33.0,8.0,28.0,438.0
1135061100,하계1동,6926.0,3841.0,2174.0,578.0,28.0,2.0,3.0,10.0,290.0
1135061200,하계2동,6926.0,3841.0,2174.0,578.0,28.0,2.0,3.0,10.0,290.0
1135061900,중계본동,7652.0,4137.0,2470.0,685.0,30.0,2.0,2.0,16.0,309.0
1135062100,중계1동,7652.0,4137.0,2470.0,685.0,30.0,2.0,2.0,16.0,309.0
1135062400,중계4동,7652.0,4137.0,2470.0,685.0,30.0,2.0,2.0,16.0,309.0
1135062500,중계2.3동,7652.0,4137.0,2470.0,685.0,30.0,2.0,2.0,16.0,309.0
1135063000,상계1동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1135064000,상계2동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1135066500,상계3.4동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1135067000,상계5동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1135069500,상계6.7동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1135070000,상계8동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1135071000,상계9동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1135072000,상계10동,7601.0,3883.0,2465.0,907.0,43.0,48.0,2.0,11.0,243.0
1138052000,불광제1동,8438.0,4611.0,2802.0,681.0,32.0,0.0,4.0,10.0,298.0
1138053000,불광제2동,8438.0,4611.0,2802.0,681.0,32.0,0.0,4.0,10.0,298.0
1138055100,갈현제1동,6585.0,3471.0,2311.0,589.0,20.0,0.0,2.0,12.0,179.0
1138055200,갈현제2동,6585.0,3471.0,2311.0,589.0,20.0,0.0,2.0,12.0,179.0
1138058000,응암제1동,7835.0,4171.0,2706.0,601.0,42.0,1.0,4.0,13.0,297.0
1138059000,응암제2동,7835.0,4171.0,2706.0,601.0,42.0,1.0,4.0,13.0,297.0
1138060000,응암제3동,7835.0,4171.0,2706.0,601.0,42.0,1.0,4.0,13.0,297.0
1138063100,신사제1동,7178.0,3316.0,2368.0,1228.0,40.0,4.0,9.0,10.0,204.0
1138063200,신사제2동,7178.0,3316.0,2368.0,1228.0,40.0,4.0,9.0,10.0,204.0
1141055500,북아현동,7861.0,4361.0,2589.0,454.0,61.0,19.0,4.0,10.0,363.0
1141062000,홍제제1동,4765.0,2667.0,1537.0,323.0,21.0,2.0,4.0,6.0,205.0
1141064000,홍제제3동,4765.0,2667.0,1537.0,323.0,21.0,2.0,4.0,6.0,205.0
1141065500,홍제제2동,4765.0,2667.0,1537.0,323.0,21.0,2.0,4.0,6.0,205.0
1141066000,홍은제1동,7242.0,3834.0,2423.0,627.0,43.0,38.0,4.0,13.0,260.0
1141068500,홍은제2동,7242.0,3834.0,2423.0,627.0,43.0,38.0,4.0,13.0,260.0
1141069000,남가좌제1동,6984.0,3776.0,2324.0,420.0,36.0,46.0,8.0,18.0,358.0
1141070000,남가좌제2동,6984.0,3776.0,2324.0,420.0,36.0,46.0,8.0,18.0,358.0
1141071000,북가좌제1동,8112.0,3755.0,2803.0,1185.0,46.0,27.0,6.0,24.0,266.0
1141072000,북가좌제2동,8112.0,3755.0,2803.0,1185.0,46.0,27.0,6.0,24.0,266.0
1144069000,망원제1동,5534.0,2686.0,2026.0,566.0,34.0,14.0,4.0,16.0,188.0
1144070000,망원제2동,5534.0,2686.0,2026.0,566.0,34.0,14.0,4.0,16.0,188.0
1144072000,성산제1동,14656.0,7346.0,5447.0,1127.0,105.0,23.0,12.0,31.0,565.0
1147051000,목1동,9735.0,5727.0,2963.0,508.0,49.0,4.0,6.0,20.0,457.0
1147052000,목2동,9735.0,5727.0,2963.0,508.0,49.0,4.0,6.0,20.0,457.0
1147053000,목3동,9735.0,5727.0,2963.0,508.0,49.0,4.0,6.0,20.0,457.0
1147054000,목4동,9735.0,5727.0,2963.0,508.0,49.0,4.0,6.0,20.0,457.0
1147055000,목5동,9735.0,5727.0,2963.0,508.0,49.0,4.0,6.0,20.0,457.0
1147056000,신월1동,6434.0,2816.0,2394.0,977.0,28.0,40.0,2.0,13.0,165.0
1147057000,신월2동,6434.0,2816.0,2394.0,977.0,28.0,40.0,2.0,13.0,165.0
1147058000,신월3동,6434.0,2816.0,2394.0,977.0,28.0,40.0,2.0,13.0,165.0
1147059000,신월4동,6434.0,2816.0,2394.0,977.0,28.0,40.0,2.0,13.0,165.0
1147060000,신월5동,6434.0,2816.0,2394.0,977.0,28.0,40.0,2.0,13.0,165.0
1147061000,신월6동,6434.0,2816.0,2394.0,977.0,28.0,40.0,2.0,13.0,165.0
1147061100,신월7동,6434.0,2816.0,2394.0,977.0,28.0,40.0,2.0,13.0,165.0
1147062000,신정1동,9633.0,5233.0,3169.0,673.0,60.0,53.0,5.0,20.0,420.0
1147063000,신정2동,9633.0,5233.0,3169.0,673.0,60.0,53.0,5.0,20.0,420.0
1147064000,신정3동,9633.0,5233.0,3169.0,673.0,60.0,53.0,5.0,20.0,420.0
1147065000,신정4동,9633.0,5233.0,3169.0,673.0,60.0,53.0,5.0,20.0,420.0
1147067000,신정6동,9633.0,5233.0,3169.0,673.0,60.0,53.0,5.0,20.0,420.0
1147068000,신정7동,9633.0,5233.0,3169.0,673.0,60.0,53.0,5.0,20.0,420.0
1150052000,등촌제1동,8349.0,4496.0,2727.0,737.0,39.0,2.0,5.0,16.0,329.0
