사용본거지법정동명,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드,행정동코드,읍면동명
서울특별시 중구 신당동,20224,10430,7303,1593,120,4,10,46,718,1114061500,신당동
서울특별시 중구 흥인동,752,436,271,22,2,0,0,1,20,1114061500,신당동
서울특별시 중구 무학동,128,40,67,4,11,0,0,1,5,1114061500,신당동
서울특별시 중구 황학동,3456,1777,1373,145,27,0,2,10,122,1114067000,황학동
서울특별시 중구 서소문동,1280,256,939,36,12,1,0,25,11,1114052000,소공동
서울특별시 중구 정동,375,174,169,13,3,0,1,0,15,1114052000,소공동
서울특별시 중구 순화동,1297,661,473,37,12,1,0,48,65,1114052000,소공동
서울특별시 중구 순화동,1297,661,473,37,12,1,0,48,65,1114052000,소공동
서울특별시 중구 의주로1가,74,45,26,1,0,0,0,0,2,1114052000,소공동
서울특별시 중구 충정로1가,28,13,15,0,0,0,0,0,0,1114052000,소공동
서울특별시 중구 중림동,1805,982,647,94,14,0,0,0,68,1114068000,중림동
서울특별시 중구 의주로2가,3,1,2,0,0,0,0,0,0,1114068000,중림동
서울특별시 중구 만리동1가,533,240,237,15,5,9,0,0,27,1114068000,중림동
서울특별시 중구 만리동2가,1532,906,443,60,17,1,2,5,98,1114068000,중림동
서울특별시 용산구 후암동,4040,2138,1454,283,32,9,3,1,120,1117051000,후암동
서울특별시 용산구 용산동2가,2144,1141,749,182,14,1,1,1,55,1117052000,용산2가동
서울특별시 용산구 용산동4가,4,4,0,0,0,0,0,0,0,1117052000,용산2가동
서울특별시 용산구 갈월동,1358,647,508,56,8,0,1,4,134,1117053000,남영동
서울특별시 용산구 남영동,265,128,108,12,1,0,0,12,4,1117053000,남영동
서울특별시 용산구 용산동1가,9,5,2,0,2,0,0,0,0,1117053000,남영동
서울특별시 용산구 동자동,965,524,339,44,6,0,0,7,45,1117053000,남영동
서울특별시 용산구 서계동,1266,589,509,132,4,0,1,2,29,1117055500,청파동
서울특별시 용산구 청파동1가,1665,879,617,95,8,0,0,5,61,1117055500,청파동
서울특별시 용산구 청파동2가,622,324,224,47,6,0,0,0,21,1117055500,청파동
서울특별시 용산구 청파동3가,741,394,267,53,3,0,1,2,21,1117055500,청파동
서울특별시 용산구 원효로1가,2092,1096,790,95,22,3,1,4,81,1117056000,원효로제1동
서울특별시 용산구 원효로2가,754,370,313,45,2,0,0,0,24,1117056000,원효로제1동
서울특별시 용산구 신창동,631,331,223,42,3,0,0,1,31,1117057000,원효로제2동
서울특별시 용산구 산천동,1680,960,528,97,7,0,0,1,87,1117057000,원효로제2동
서울특별시 용산구 청암동,286,197,64,2,2,0,0,1,20,1117057000,원효로제2동
서울특별시 용산구 원효로3가,1092,408,597,46,7,0,1,1,32,1117057000,원효로제2동
서울특별시 용산구 원효로4가,1369,708,492,76,22,4,1,2,64,1117057000,원효로제2동
서울특별시 용산구 효창동,3112,1629,1128,169,12,0,7,3,164,1117058000,효창동
서울특별시 용산구 도원동,1677,994,509,87,11,0,0,2,74,1117059000,용문동
서울특별시 용산구 용문동,1728,880,648,115,13,0,2,1,69,1117059000,용문동
서울특별시 용산구 문배동,2212,1209,788,52,27,0,1,3,132,1117056000,원효로제1동
서울특별시 용산구 신계동,1203,633,435,52,9,0,2,3,69,1117056000,원효로제1동
서울특별시 용산구 한강로1가,3651,2848,562,53,15,1,0,89,83,1117062500,한강로동
서울특별시 용산구 한강로2가,3373,1795,1247,135,28,2,2,4,160,1117062500,한강로동
서울특별시 용산구 용산동3가,199,109,68,9,2,0,1,0,10,1117062500,한강로동
서울특별시 용산구 용산동5가,1091,710,287,12,8,0,1,1,72,1117062500,한강로동
서울특별시 용산구 한강로3가,4086,2209,1460,118,45,2,1,36,215,1117062500,한강로동
서울특별시 용산구 이촌동,16134,10703,3798,360,258,1,12,20,982,1117063000,이촌제1동
서울특별시 용산구 이촌동,16134,10703,3798,360,258,1,12,20,982,1117063000,이촌제1동
서울특별시 용산구 이태원동,4857,2705,1599,275,68,6,6,7,191,1117065000,이태원제1동
서울특별시 용산구 이태원동,4857,2705,1599,275,68,6,6,7,191,1117065000,이태원제1동
서울특별시 용산구 한남동,7530,4257,2526,297,98,0,3,28,321,1117068500,한남동
서울특별시 용산구 동빙고동,2133,1167,686,152,15,0,0,5,108,1117069000,서빙고동
서울특별시 용산구 서빙고동,2207,1363,628,52,8,0,2,2,152,1117069000,서빙고동
서울특별시 용산구 주성동,271,136,95,22,1,0,0,1,16,1117069000,서빙고동
서울특별시 용산구 용산동6가,57,7,49,0,0,0,0,0,1,1117069000,서빙고동
서울특별시 용산구 보광동,3087,1576,1113,269,14,0,1,3,111,1117070000,보광동
서울특별시 성동구 상왕십리동,1196,658,424,41,5,0,0,10,58,1120053500,왕십리도선동
서울특별시 성동구 하왕십리동,9230,5158,3079,446,56,1,8,18,464,1120053500,왕십리도선동
서울특별시 성동구 하왕십리동,9230,5158,3079,446,56,1,8,18,464,1120053500,왕십리도선동
서울특별시 성동구 홍익동,1032,494,445,59,6,10,0,0,18,1120053500,왕십리도선동
서울특별시 성동구 도선동,1155,582,452,72,3,1,1,1,43,1120053500,왕십리도선동
서울특별시 성동구 마장동,8493,3279,3738,1127,102,4,3,14,226,1120054000,마장동
서울특별시 성동구 사근동,1194,553,468,129,2,0,1,0,41,1120055000,사근동
서울특별시 성동구 행당동,11999,6739,3838,612,122,13,4,37,634,1120055000,사근동
서울특별시 성동구 행당동,11999,6739,3838,612,122,13,4,37,634,1120055000,사근동
서울특별시 성동구 행당동,11999,6739,3838,612,122,13,4,37,634,1120055000,사근동
서울특별시 성동구 응봉동,4603,2561,1515,245,18,0,0,11,253,1120058000,응봉동
서울특별시 성동구 금호동1가,4842,2643,1559,361,23,2,3,16,235,1120059000,금호1가동
서울특별시 성동구 금호동2가,2960,1620,1020,137,22,1,1,5,154,1120061500,금호2.3가동
서울특별시 성동구 금호동3가,3292,1802,1135,210,14,0,1,4,126,1120061500,금호2.3가동
서울특별시 성동구 금호동4가,4545,2529,1485,210,39,0,2,15,265,1120062000,금호4가동
서울특별시 성동구 옥수동,8828,5205,2706,274,69,11,6,28,529,1120064500,옥수동
서울특별시 성동구 성수동1가,17735,10113,5068,997,616,318,9,123,491,1120065000,성수1가제1동
서울특별시 성동구 성수동1가,17735,10113,5068,997,616,318,9,123,491,1120065000,성수1가제1동
서울특별시 성동구 성수동2가,15634,7082,6263,1523,133,94,9,27,503,1120067000,성수2가제1동
서울특별시 성동구 성수동2가,15634,7082,6263,1523,133,94,9,27,503,1120067000,성수2가제1동
서울특별시 성동구 송정동,2839,1318,1145,274,14,1,0,6,81,1120079000,용답동
서울특별시 성동구 송정동,2839,1318,1145,274,14,1,0,6,81,1120079000,용답동
서울특별시 성동구 용답동,7437,3323,2831,1080,41,2,1,6,153,1120079000,용답동
서울특별시 광진구 중곡동,21656,10310,8453,2166,84,18,4,27,594,1121574000,중곡제1동
서울특별시 광진구 중곡동,21656,10310,8453,2166,84,18,4,27,594,1121574000,중곡제1동
서울특별시 광진구 중곡동,21656,10310,8453,2166,84,18,4,27,594,1121574000,중곡제1동
서울특별시 광진구 중곡동,21656,10310,8453,2166,84,18,4,27,594,1121574000,중곡제1동
서울특별시 광진구 능동,3001,1563,1082,227,16,0,1,6,106,1121578000,능동
서울특별시 광진구 구의동,22682,12117,7850,1657,103,6,15,38,896,1121585000,구의제1동
서울특별시 광진구 구의동,22682,12117,7850,1657,103,6,15,38,896,1121585000,구의제1동
서울특별시 광진구 구의동,22682,12117,7850,1657,103,6,15,38,896,1121585000,구의제1동
서울특별시 광진구 광장동,11738,7021,3489,416,54,6,4,26,722,1121581000,광장동
서울특별시 광진구 자양동,30367,14630,12164,2141,163,156,8,41,1064,1121582000,자양제1동
서울특별시 광진구 자양동,30367,14630,12164,2141,163,156,8,41,1064,1121582000,자양제1동
서울특별시 광진구 자양동,30367,14630,12164,2141,163,156,8,41,1064,1121582000,자양제1동
서울특별시 광진구 자양동,30367,14630,12164,2141,163,156,8,41,1064,1121582000,자양제1동
서울특별시 광진구 화양동,4054,2166,1341,390,25,1,3,7,121,1121571000,화양동
서울특별시 광진구 군자동,5059,2450,1901,510,26,1,4,8,159,1121573000,군자동
서울특별시 동대문구 신설동,1377,660,599,85,2,0,0,2,29,1123053600,용신동
서울특별시 동대문구 용두동,8448,4003,3504,591,62,10,2,18,258,1123053600,용신동
서울특별시 동대문구 제기동,6464,3166,2564,519,23,2,1,9,180,1123054500,제기동
서울특별시 동대문구 전농동,13211,6769,4731,1098,77,2,7,23,504,1123056000,전농제1동
서울특별시 동대문구 전농동,13211,6769,4731,1098,77,2,7,23,504,1123056000,전농제1동
서울특별시 동대문구 답십리동,18212,9249,6606,1518,102,11,6,34,686,1123060000,답십리제1동
서울특별시 동대문구 답십리동,18212,9249,6606,1518,102,11,6,34,686,1123060000,답십리제1동
서울특별시 동대문구 장안동,23722,11493,9056,2226,104,3,14,62,764,1123065000,장안제1동
서울특별시 동대문구 장안동,23722,11493,9056,2226,104,3,14,62,764,1123065000,장안제1동
서울특별시 동대문구 청량리동,5169,2553,1858,569,33,0,3,6,147,1123070500,청량리동
서울특별시 동대문구 회기동,2100,1141,708,159,9,0,3,5,75,1123071000,회기동
서울특별시 동대문구 휘경동,10241,5142,3738,917,43,16,5,19,361,1123072000,휘경제1동
서울특별시 동대문구 휘경동,10241,5142,3738,917,43,16,5,19,361,1123072000,휘경제1동
서울특별시 동대문구 이문동,9446,4910,3314,838,39,2,5,27,311,1123074000,이문제1동
서울특별시 동대문구 이문동,9446,4910,3314,838,39,2,5,27,311,1123074000,이문제1동
서울특별시 중랑구 면목동,37557,17580,14560,3951,165,250,15,42,994,1126052000,면목제2동
서울특별시 중랑구 면목동,37557,17580,14560,3951,165,250,15,42,994,1126052000,면목제2동
서울특별시 중랑구 면목동,37557,17580,14560,3951,165,250,15,42,994,1126052000,면목제2동
서울특별시 중랑구 면목동,37557,17580,14560,3951,165,250,15,42,994,1126052000,면목제2동
서울특별시 중랑구 면목동,37557,17580,14560,3951,165,250,15,42,994,1126052000,면목제2동
서울특별시 중랑구 면목동,37557,17580,14560,3951,165,250,15,42,994,1126052000,면목제2동
서울특별시 중랑구 상봉동,13686,6726,4929,1487,71,5,4,25,439,1126058000,상봉제1동
서울특별시 중랑구 상봉동,13686,6726,4929,1487,71,5,4,25,439,1126058000,상봉제1동
서울특별시 중랑구 중화동,11853,5652,4594,1280,50,0,5,18,254,1126060000,중화제1동
서울특별시 중랑구 중화동,11853,5652,4594,1280,50,0,5,18,254,1126060000,중화제1동
서울특별시 중랑구 묵동,16419,8133,6243,1464,61,3,4,29,482,1126062000,묵제1동
서울특별시 중랑구 묵동,16419,8133,6243,1464,61,3,4,29,482,1126062000,묵제1동
서울특별시 중랑구 망우동,15048,6064,5621,2930,95,7,6,18,307,1126065500,망우본동
서울특별시 중랑구 망우동,15048,6064,5621,2930,95,7,6,18,307,1126065500,망우본동
서울특별시 중랑구 신내동,19733,9242,7210,2338,137,112,7,56,631,1126068000,신내1동
서울특별시 중랑구 신내동,19733,9242,7210,2338,137,112,7,56,631,1126068000,신내1동
서울특별시 성북구 성북동,3355,1931,1057,176,32,1,2,4,152,1129052500,성북동
서울특별시 성북구 성북동1가,385,230,122,13,4,0,0,2,14,1129052500,성북동
서울특별시 성북구 돈암동,12033,7023,3625,686,66,1,4,33,595,1129055500,삼선동
서울특별시 성북구 돈암동,12033,7023,3625,686,66,1,4,33,595,1129055500,삼선동
서울특별시 성북구 돈암동,12033,7023,3625,686,66,1,4,33,595,1129055500,삼선동
서울특별시 성북구 돈암동,12033,7023,3625,686,66,1,4,33,595,1129055500,삼선동
서울특별시 성북구 돈암동,12033,7023,3625,686,66,1,4,33,595,1129055500,삼선동
서울특별시 성북구 동소문동1가,248,127,96,11,2,0,0,2,10,1129052500,성북동
서울특별시 성북구 동소문동2가,109,51,40,13,1,0,0,1,3,1129055500,삼선동
서울특별시 성북구 동소문동3가,50,20,25,5,0,0,0,0,0,1129055500,삼선동
